Species,CommonName,ReviewID,MetaSiteID,Duplicate,Publication.Year,Radius,Sampling,Sampling Technique,Activities,Sat F,Sat M,Sat U,Sat A,Sat AB,Sat AI,Sat I,Sat J,Sat Sub,Sat Unk,F,M,U,A,AB,AI,I,J,SUB,UNK,Basin,Long,Lat,N. Pub
CHMY,Green,23HBZAII_Lima_etal_1999_Chmy,CG,FALSE,1999,5,FLIPPER TAG,Mark-Recapture,OBS,,,,,,,,,,,,,1,,,,,,,1,ATL,-82.7,14.3,1
CHMY,Green,23HBZAII_Lima_etal_1999_Chmy,CH,FALSE,1999,1,FLIPPER TAG,Mark-Recapture,OBS,,,,,,,,,,,,,1,,,,,,,1,ATL,-39.7,-2.7,1
CHMY,Green,25FVJE98_Hammerschlag_etal_2016_Chmy,AA,FALSE,2016,1,SATELLITE TAG (ARGOS),Satellite Telemetry,NES,10,,,,,10,,,,,10,,,,10,,,,,,PAC,144.033,-11.583,1
CHMY,Green,25FVJE98_Hammerschlag_etal_2016_Chmy,CE,TRUE,2016,5,SATELLITE TAG (ARGOS),Satellite Telemetry,BRE,,,,,,,,,,,10,,,,10,,,,,,PAC,144.033,-11.583,1
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,AB,FALSE,2013,1,Flipper,Mark-Recapture,NES,,,,,,,,,,,10,,,,10,,,,,,IND,80.851,6.045,1
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,AB,TRUE,2013,1,Argos,Satellite Telemetry,NES,10,,,,10,,,,,,10,,,,10,,,,,,IND,80.851,6.045,1
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,AB,FALSE,2013,1,Argos,Satellite Telemetry,OBS,,,,,,,,,,,8,,,,,8,,,,,IND,80.85,6.04,1
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,AB,FALSE,2013,1,Argos,Satellite Telemetry,OBS,,,,,,,,,,,1,,,,,1,,,,,IND,80.308,5.993,1
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,AB,FALSE,2013,1,Argos,Satellite Telemetry,OBS,,,,,,,,,,,1,,,,,1,,,,,IND,81.218,6.165,1
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,AB,FALSE,2013,1,Argos,Satellite Telemetry,OBS,,,,,,,,,,,1,,,,,1,,,,,IND,80.986,6.093,1
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,AB,FALSE,2013,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,3,,,3,,,,,,,IND,80.731,5.903,1
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,EG,FALSE,2013,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,4,,,4,,,,,,,IND,79.255,9.117,1
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,EH,FALSE,2013,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,2,,,2,,,,,,,IND,74.481,14.009,1
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,EI,FALSE,2013,1,Argos,Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,IND,73.063,8.287,1
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,AC,FALSE,2006,1,PASSIVE INTEGRATED TRANSPONDER (PIT),Mark-Recapture,NES,,,,,,,,,,,94,,,,94,,,,,,IND,97.647,8.48,1
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,AC,TRUE,2006,1,SATELLITE TAG (ARGOS),Satellite Telemetry,NES,,,,,,,,,,,94,,,,94,,,,,,IND,97.647,8.48,1
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,AC,TRUE,2006,1,PASSIVE INTEGRATED TRANSPONDER (PIT),Mark-Recapture,NES,,,,,,,,,,,17,,,,17,,,,,,IND,97.647,8.48,1
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,AC,FALSE,2006,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,7,,,,7,,,,,,2,,,2,,,,,,,IND,98.239,9.007,1
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,CW,TRUE,2006,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,5,,,5,,,,,,,IND,92.844,11.974,1
CHMY,Green,2G3JABPA_McClellan_etal_2009_Chmy,CU,FALSE,2009,1,SATELLITE TAG (ARGOS),Satellite Telemetry,OBS,,,7,,,,,7,,,,,7,,,,,,,7,ATL,-75.5,35.3,1
CHMY,Green,2REUV67R_Cheng_2007_Chmy,AD,FALSE,2007,1,SATELLITE TAG (ARGOS),Satellite Telemetry,NES,6,,,,6,,,,,,6,,,6,,,,,,,PAC,114.366,10.377,1
CHMY,Green,2REUV67R_Cheng_2007_Chmy,CO,FALSE,2007,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,PAC,115.05,5.197,1
CHMY,Green,2REUV67R_Cheng_2007_Chmy,CO,FALSE,2007,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,3,,,3,,,,,,,PAC,117.994,9.354,1
CHMY,Green,2REUV67R_Cheng_2007_Chmy,CO,FALSE,2007,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,PAC,119.197,5.57,1
CHMY,Green,2REUV67R_Cheng_2007_Chmy,EJ,FALSE,2007,1,SATELLITE TAG (ARGOS),Satellite Telemetry,FEE,,,,,,,,,,,1,,,1,,,,,,,PAC,122.391,17.485,1
CHMY,Green,2WPCNKV4_Cheng_etal_2013_Chmy,AE,FALSE,2013,1,ADVANCED DIVE BEHAVIOR TAG,Dive Loggers,NES,10,,,,10,,,,,,4,,,,4,,,,,,PAC,119.489,23.356,1
CHMY,Green,2WPCNKV4_Cheng_etal_2013_Chmy,AF,FALSE,2013,1,ADVANCED DIVE BEHAVIOR TAG,Dive Loggers,NES,,,,,,,,,,,6,,,,6,,,,,,PAC,121.551,22.026,1
CHMY,Green,2XCHJ488_Seminoff_etal_2002_Chmy,CS,FALSE,2002,1,RADIO TAG,Acoustic Telemetry,FEE,,3,9,,,,,,,,,1,2,,,,,,,3,PAC,-113.55,29.013,1
CHMY,Green,2XCHJ488_Seminoff_etal_2002_Chmy,CS,FALSE,2002,1,RADIO TAG,Acoustic Telemetry,FEE,,,,,,,,,,,,1,7,,,,,,,8,PAC,-113.53,28.975,1
CHMY,Green,2XCHJ488_Seminoff_etal_2002_Chmy,CS,TRUE,2002,1,RADIO TAG,Acoustic Telemetry,FEE,,,,,,,,,,,,1,,,,,,,,1,PAC,-113.503,28.909,1
CHMY,Green,2XCHJ488_Seminoff_etal_2002_Chmy,CS,TRUE,2002,1,RADIO TAG,Acoustic Telemetry,FEE,,,,,,,,,,,,1,2,,,,,,,3,PAC,-113.488,28.995,1
CHMY,Green,39W3A5US_Luschi_etal_1998_Chmy,AG,TRUE,1998,1,SATELLITE TAG (ARGOS),Satellite Telemetry,NES,6,,,,6,,,,,,6,,,,6,,,,,,ATL,-14.4,-7.9,1
CHMY,Green,39W3A5US_Luschi_etal_1998_Chmy,CH,FALSE,1998,5,SATELLITE TAG (ARGOS),Satellite Telemetry,MIG;OBS,,,,,,,,,,,5,,,5,,,,,,,ATL,-34.8,-7,1
