MetaUniqueID_From,BehaviorForSymbology,Habitat,SiteLocation,Lat,Lon,MinNumIndividuals,Radius,Connections.From.Nesting.Site,Connections.to.Foraging,Basin,RMU_From,MetaUniqueID_To,BehaviorForSymbology,Habitat,SiteLocation,Lat,Lon,MinNumIndividuals,Radius,Connections.From.Nesting.Site,Site,Connections.to.Foraging,Basin,RMU_To,Lat1,Lon1,Lat2,Lon2,Distance
METACHMY_AJ,NES,Island,"Sham Wan, Lamma Island, Hong Kong;Hong Kong;Dangan Liedao & Po Toi, China",22.17625001,114.18,30,1,NA,6,PAC,6,METACHMY_AE,NES,Island,"Wan-an Island, Taiwan;Wan-an Island, Penghu Archipelago, Taiwan;Wan-an Island, Penghu Archipelago, Taiwan Strait;Penghu Island, Taiwan",23.27225022,119.3512509,22,1,NA,1,6,PAC,6,0.387048578,1.99281694,0.406177391,2.083072295,544.1641337
METACHMY_HB,OBS,Coastal,"Shanwei, China",22.505,116.031,6,1,1,NA,PAC,6,METACHMY_AE,NES,Island,"Wan-an Island, Taiwan;Wan-an Island, Penghu Archipelago, Taiwan;Wan-an Island, Penghu Archipelago, Taiwan Strait;Penghu Island, Taiwan",23.27225022,119.3512509,22,1,NA,1,6,PAC,6,0.392786348,2.025122984,0.406177391,2.083072295,350.6514148
METACHMY_AI,NES,Island,"Gibbs Cay, Turks & Caicos Islands;Waters of Turks & Caicos Islands;North of East Caicos, Turks & Caicos Islands",21.67500021,-71.37500021,24,1,NA,2,ATL,1,METACHMY_AH,NES,Island,Barbuda,17.6,-61.7,1,1,NA,1,1,ATL,1,0.378300119,-1.245728757,0.307177948,-1.076868148,1109.547785
METACHMY_AH,NES,Island,Barbuda,17.6,-61.7,1,1,NA,1,ATL,1,METACHMY_AI,NES,Island,"Gibbs Cay, Turks & Caicos Islands;Waters of Turks & Caicos Islands;North of East Caicos, Turks & Caicos Islands",21.67500021,-71.37500021,24,1,NA,1,2,ATL,1,0.307177948,-1.076868148,0.378300119,-1.245728757,1109.547785
METACHMY_AE,NES,Island,"Wan-an Island, Taiwan;Wan-an Island, Penghu Archipelago, Taiwan;Wan-an Island, Penghu Archipelago, Taiwan Strait;Penghu Island, Taiwan",23.27225022,119.3512509,22,1,NA,6,PAC,6,METACHMY_AJ,NES,Island,"Sham Wan, Lamma Island, Hong Kong;Hong Kong;Dangan Liedao & Po Toi, China",22.17625001,114.18,30,1,NA,1,6,PAC,6,0.406177391,2.083072295,0.387048578,1.99281694,544.1641337
METACHMY_CT,OBS,Coastal,"Mouth of Maroni River;Guyana;Cayenne, French Guiana;Oyapock river estuary, between French Guiana & Brazil;Northwest to mouth of the Amazon River, Brazil",4.82409853,-53.25723037,22,5,2,NA,ATL,1,METACHMY_AS,NES,Continental,"Awala-Yalimapo, Amana Nature Reserve, French Guiana;Galibi Nature Reserve, Suriname;Amana Nature Reserve, French Guiana;Awala-Yalimapo & Galibi Nature Reserves, French Guiana & Suriname;Guianese coast;Mouth of Maroni River;Waters between French Guiana & Suriname",5.686555679,-53.77378016,1181,1,NA,1,2,ATL,1;2,0.084196403,-0.92951402,0.09924912,-0.938529515,111.6616533
METACHMY_GY,FEE,Coastal,"Abu Ghusun, Wadi Gemal National Park, Egypt",24.457,35.215,1,1,1,NA,IND,4,METACHMY_AU,NES,Continental,"Ras Al Baridi, Red Sea;South of Yanbu, Saudi Arabia",23.955,37.678,11,1,NA,1,1,IND,4,0.426855175,0.614617696,0.418093622,0.657605156,255.9498912
METACHMY_CG,FEE,Coastal,"Tortuguero, Costa Rica;Nicaragua;Merilin Bar, Nicaragua;Panama;The Witties, Nicaragua;Miskito Cays, Nicaragua;Dead Man's Cay, Nicaragua;Secretary, Chiriqui Lagoon, Ngobe-Bugle Comarca, Panama;Zapatilla Cay, Panama",12.16898833,-82.34521866,4474,5,2,2,ATL,1,METACHMY_AV,NES,Continental,"Tortuguero, Costa Rica;Costa Rica;Waters around Tortuguero, Costa Rica",10.25399986,-83.23399996,47338,1,NA,1,13,ATL,1,0.212388913,-1.437195189,0.178966059,-1.452707349,233.9635112
METACHMY_DW,OBS,Insular,West of Madagascar;Southeast of Europa Is,-22.8025,42.7235,3,1,1,NA,IND,5,METACHMY_BF,NES,Island,"Europa Island, southern Mozambique Channel;Europa;Southeast of Europa Is",-22.4207499,40.5989961,19,1,NA,1,1,IND,5,-0.397978703,0.745665743,-0.391315907,0.708586155,222.1657942
METACHMY_BH,NES,Island,"Merir Island, Palau",4.313,132.314,73,1,NA,2,PAC,8,METACHMY_BI,NES,Island,"Palau main Is;Aimeliik State, Palau;Ngardmau Channel, Palau",7.519666653,134.5473333,5,1,NA,1,2,PAC,8,0.075276051,2.309314946,0.131242942,2.348293966,433.7480028
