Species,CommonName,ReviewID,ZoteroID,Ver.,Method,SiteID,Location,Radius,Sampling,NumIDs,Numroutes,Numconns,Years,Monthsstart,Monthsend,Monthssampled,Activities,Behaviour,Sex,Lifestage,UniqueID,UniqueID_from,UniqueID_to,Title,Publication Year,Author,Basin,Long,Lat
CHMY,Green,23HBZAII_Lima_etal_1999_Chmy,23HBZAII,1.00E+06,MR,A,"Almofala waters, Ceara, Brazil",1,FLIPPER TAG,1,NA,1,1994,(UNK),(UNK),NA,OBS,OBS,"{ ""U"" : 1 }","{ ""UNK"" : 1 }",23HBZAII_A,23HBZAII_A,23HBZAII_A,From one feeding ground to another: Green turtle migration between Brazil and Nicaragua,1999,"Lima, EHSM; Lagueux, Cynthia J.; Castro, Dennis; Marcovaldi, M. A.",ATL,-39.7,-2.7
CHMY,Green,23HBZAII_Lima_etal_1999_Chmy,23HBZAII,1.00E+06,MR,B,"Merilin Bar, Nicaragua",5,FLIPPER TAG,1,NA,1,1998,MAR,MAR,NA,OBS,OBS,"{ ""U"" : 1 }","{ ""UNK"" : 1 }",23HBZAII_B,23HBZAII_B,23HBZAII_B,From one feeding ground to another: Green turtle migration between Brazil and Nicaragua,1999,"Lima, EHSM; Lagueux, Cynthia J.; Castro, Dennis; Marcovaldi, M. A.",ATL,-82.7,14.3
CHMY,Green,25FVJE98_Hammerschlag_etal_2016_Chmy,25FVJE98,1.00E+06,T,A,Raine Island,1,SATELLITE TAG (ARGOS),10,NA,NA,2007; 2008,SEP; NOV; DEC,SEP; NOV; DEC,NA,NES,NES,"{ ""F"" : 10 }","{ ""AB"" : 10 }",25FVJE98_A,25FVJE98_A,25FVJE98_A,Behavioral evidence suggests facultative scavenging by a marine apex predator during a food pulse,2016,"Hammerschlag, Neil; Bell, Ian; Fitzpatrick, Richard; Gallagher, Austin J.; Hawkes, Lucy A.; Meekan, Mark G.; Stevens, John D.; Thums, Michele; Witt, Matthew J.; Barnett, Adam",PAC,144.033,-11.583
CHMY,Green,25FVJE98_Hammerschlag_etal_2016_Chmy,25FVJE98,1.00E+06,T,B,Coastal Raine Island,5,SATELLITE TAG (ARGOS),10,NA,NA,2007; 2008; 2009,NOV,APR,NA,BRE,BRE,"{ ""F"" : 10 }","{ ""AB"" : 10 }",25FVJE98_B,25FVJE98_B,25FVJE98_B,Behavioral evidence suggests facultative scavenging by a marine apex predator during a food pulse,2016,"Hammerschlag, Neil; Bell, Ian; Fitzpatrick, Richard; Gallagher, Austin J.; Hawkes, Lucy A.; Meekan, Mark G.; Stevens, John D.; Thums, Michele; Witt, Matthew J.; Barnett, Adam",PAC,144.033,-11.583
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,2AE5WGEN,1.00E+06,MR,A,"Rekawa Sanctuary, Tangalle Bay, Sri Lanka",1,Flipper,10,27,NA,2006; 2007,JUN; JUL; AUG; SEP; OCT,JUN; JUL; AUG; SEP; OCT,NA,NES,NES,"{ ""F"" : 10 }","{ ""AB"" : 10 }",2AE5WGEN_A,2AE5WGEN_A,2AE5WGEN_A,Satellite telemetry reveals behavioural plasticity in a green turtle population nesting in Sri Lanka,2013,"Richardson, Peter Bradley; Broderick, Annette C.; Coyne, Michael S.; Ekanayake, Lalith; Kapurusinghe, Thushan; Premakumara, Chandralal; Ranger, Susan; Saman, M. M.; Witt, Matthew J.; Godley, Brendan J.",IND,80.851,6.045
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,2AE5WGEN,1.00E+06,T,A,"Rekawa Sanctuary, Tangalle Bay, Sri Lanka",1,Argos,10,27,NA,2006; 2007,JUN; JUL; AUG; SEP; OCT,JUN; JUL; AUG; SEP; OCT,NA,NES,NES,"{ ""F"" : 10 }","{ ""AB"" : 10 }",2AE5WGEN_A,2AE5WGEN_A,2AE5WGEN_A,Satellite telemetry reveals behavioural plasticity in a green turtle population nesting in Sri Lanka,2013,"Richardson, Peter Bradley; Broderick, Annette C.; Coyne, Michael S.; Ekanayake, Lalith; Kapurusinghe, Thushan; Premakumara, Chandralal; Ranger, Susan; Saman, M. M.; Witt, Matthew J.; Godley, Brendan J.",IND,80.851,6.045
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,2AE5WGEN,1.00E+06,T,B,Waters near Rekawa Sanctuary,1,Argos,8,10,NA,2006; 2007,JUN; JUL; AUG; SEP; OCT,JUL; AUG; SEP; OCT,NA,OBS,OBS,"{ ""F"" : 8 }","{ ""AI"" : 8 }",2AE5WGEN_B,2AE5WGEN_B,2AE5WGEN_B,Satellite telemetry reveals behavioural plasticity in a green turtle population nesting in Sri Lanka,2013,"Richardson, Peter Bradley; Broderick, Annette C.; Coyne, Michael S.; Ekanayake, Lalith; Kapurusinghe, Thushan; Premakumara, Chandralal; Ranger, Susan; Saman, M. M.; Witt, Matthew J.; Godley, Brendan J.",IND,80.85,6.04
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,2AE5WGEN,1.00E+06,T,C,Habbaraduwa,1,Argos,1,1,NA,2006,JUL,AUG,NA,OBS,OBS,"{ ""F"" : 1 }","{ ""AI"" : 1 }",2AE5WGEN_C,2AE5WGEN_C,2AE5WGEN_C,Satellite telemetry reveals behavioural plasticity in a green turtle population nesting in Sri Lanka,2013,"Richardson, Peter Bradley; Broderick, Annette C.; Coyne, Michael S.; Ekanayake, Lalith; Kapurusinghe, Thushan; Premakumara, Chandralal; Ranger, Susan; Saman, M. M.; Witt, Matthew J.; Godley, Brendan J.",IND,80.308,5.993
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,2AE5WGEN,1.00E+06,T,D,Bundala,1,Argos,1,8,NA,2007,JUN; JUL; AUG,JUL; AUG,NA,OBS,OBS,"{ ""F"" : 1 }","{ ""AI"" : 1 }",2AE5WGEN_D,2AE5WGEN_D,2AE5WGEN_D,Satellite telemetry reveals behavioural plasticity in a green turtle population nesting in Sri Lanka,2013,"Richardson, Peter Bradley; Broderick, Annette C.; Coyne, Michael S.; Ekanayake, Lalith; Kapurusinghe, Thushan; Premakumara, Chandralal; Ranger, Susan; Saman, M. M.; Witt, Matthew J.; Godley, Brendan J.",IND,81.218,6.165
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,2AE5WGEN,1.00E+06,T,E,Ussangoda,1,Argos,1,4,NA,2007,JUL,JUL,NA,OBS,OBS,"{ ""F"" : 1 }","{ ""AI"" : 1 }",2AE5WGEN_E,2AE5WGEN_E,2AE5WGEN_E,Satellite telemetry reveals behavioural plasticity in a green turtle population nesting in Sri Lanka,2013,"Richardson, Peter Bradley; Broderick, Annette C.; Coyne, Michael S.; Ekanayake, Lalith; Kapurusinghe, Thushan; Premakumara, Chandralal; Ranger, Susan; Saman, M. M.; Witt, Matthew J.; Godley, Brendan J.",IND,80.986,6.093
