Species,Common Name,Review ID,Ver.,Type,ID,Method,Site From,Site To,Sites between,#animals,Months start,Months end
CHMY,Green,23HBZAII_Lima_etal_1999_Chmy,1000000,Connection,1,Mark-recapture,A,B,,1,(UNK),MAR
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,1,Telemetry,A,B,,8,JUN; AUG,JUN; AUG
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,2,Telemetry,B,A,,8,JUL; AUG,JUL; AUG
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,3,Telemetry,A,B,,3,JUL; AUG,JUL; AUG
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,4,Telemetry,B,A,,3,JUL; SEP,JUL; SEP
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,5,Telemetry,A,B,,3,JUL; SEP,JUL; SEP
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,6,Telemetry,B,A,,3,AUG; SEP,AUG; SEP
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,7,Telemetry,A,B,,3,AUG; SEP,AUG; SEP
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,8,Telemetry,B,A,,3,AUG; SEP; OCT,AUG; SEP; OCT
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,9,Telemetry,A,B,,3,AUG; SEP; OCT,AUG; SEP; OCT
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,10,Telemetry,B,A,,3,SEP; OCT,SEP; OCT
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,11,Telemetry,A,C,,1,JUL,JUL
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,12,Telemetry,A,D,,1,JUN,JUN
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,13,Telemetry,D,A,,1,JUL,JUL
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,14,Telemetry,A,D,,1,JUL,JUL
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,15,Telemetry,D,A,,1,JUL,JUL
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,16,Telemetry,A,D,,1,JUL,JUL
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,17,Telemetry,D,A,,1,AUG,AUG
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,18,Telemetry,A,D,,1,AUG,AUG
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,19,Telemetry,D,A,,1,AUG,AUG
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,20,Telemetry,A,E,,1,JUL,JUL
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,21,Telemetry,E,A,,1,JUL,JUL
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,22,Telemetry,A,E,,1,JUL,JUL
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,23,Telemetry,E,A,,1,JUL,JUL
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,24,Telemetry,A,F,,3,JUL; AUG; SEP,JUL; AUG; SEP
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,25,Telemetry,A,G,,4,JUL; AUG,JUL; AUG; SEP
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,26,Telemetry,A,H,,2,SEP; OCT,SEP; NOV
CHMY,Green,2AE5WGEN_Richardson_etal_2013_Chmy,1000000,Route,27,Telemetry,A,I,,1,OCT,NOV
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,1000000,Connection,2,Telemetry,A,D,,2,MAR; JUN,MAR; JUN
CHMY,Green,2DIWCUSF_Yasuda_etal_2006_Chmy,1000000,Route,1,Telemetry,A,C,,5,JUN; SEP,JUN; SEP
CHMY,Green,2REUV67R_Cheng_2007_Chmy,1000000,Route,1,Telemetry,A,B,,3,(UNK),(UNK)
CHMY,Green,2REUV67R_Cheng_2007_Chmy,1000000,Route,2,Telemetry,A,C,,1,(UNK),(UNK)
CHMY,Green,2REUV67R_Cheng_2007_Chmy,1000000,Route,3,Telemetry,A,D,,1,(UNK),(UNK)
CHMY,Green,2REUV67R_Cheng_2007_Chmy,1000000,Route,4,Telemetry,A,E,,1,(UNK),(UNK)
CHMY,Green,39W3A5US_Luschi_etal_1998_Chmy,1000000,Route,1,Telemetry,A,B,,5,MAY; JUN; JUL,JUN; JUL; AUG
CHMY,Green,39W3A5US_Luschi_etal_1998_Chmy,1000000,Route,2,Telemetry,A,C,,1,APR,APR
CHMY,Green,463M2S29_Stringell_etal_2015_Chmy,1000000,Connection,4,Genetic,,,F; G,1,,
CHMY,Green,463M2S29_Stringell_etal_2015_Chmy,1000000,Route,1,Telemetry,A,B,,1,AUG,(UNK)
CHMY,Green,463M2S29_Stringell_etal_2015_Chmy,1000000,Route,2,Telemetry,B,C,,1,(UNK),JAN
CHMY,Green,463M2S29_Stringell_etal_2015_Chmy,1000000,Route,3,Telemetry,D,E,,1,SEP,OCT
CHMY,Green,4RE2NS68_Ng_etal_2014_Chmy,1000000,Connection,4,Genetic,,,A,5,,
CHMY,Green,4RE2NS68_Ng_etal_2014_Chmy,1000000,Route,1,Telemetry,A,B,,1,(UNK),(UNK)
CHMY,Green,4RE2NS68_Ng_etal_2014_Chmy,1000000,Route,2,Telemetry,A,C,,1,(UNK),(UNK)
CHMY,Green,4RE2NS68_Ng_etal_2014_Chmy,1000000,Route,3,Telemetry,A,D,,1,(UNK),OCT
CHMY,Green,69G2XFXH_Hays_etal_2001_Chmy,1000000,Connection,1,Telemetry,A,B,,1,JUN,JUL
CHMY,Green,6HF2BHWN_Fuller_etal_2008_Chmy,1000000,Route,1,Telemetry,A,B,,9,JUN; JUL; AUG; (UNK),JUN; JUL; AUG; (UNK)
CHMY,Green,6HF2BHWN_Fuller_etal_2008_Chmy,1000000,Route,2,Telemetry,B,A,,9,JUN; JUL; AUG; (UNK),JUN; JUL; AUG; (UNK)
CHMY,Green,6HF2BHWN_Fuller_etal_2008_Chmy,1000000,Route,3,Telemetry,A,B,,3,JUN; JUL; AUG; (UNK),JUN; JUL; AUG; (UNK)
CHMY,Green,6HF2BHWN_Fuller_etal_2008_Chmy,1000000,Route,4,Telemetry,B,A,,3,JUN; JUL; AUG; (UNK),JUN; JUL; AUG; (UNK)
CHMY,Green,6HF2BHWN_Fuller_etal_2008_Chmy,1000000,Route,5,Telemetry,A,B,,2,JUN; JUL; AUG; (UNK),JUN; JUL; AUG; (UNK)
CHMY,Green,6HF2BHWN_Fuller_etal_2008_Chmy,1000000,Route,6,Telemetry,B,A,,2,JUN; JUL; AUG; (UNK),JUN; JUL; AUG; (UNK)
CHMY,Green,6HF2BHWN_Fuller_etal_2008_Chmy,1000000,Route,7,Telemetry,A,B,,2,JUN; JUL; AUG; (UNK),JUN; JUL; AUG; (UNK)
CHMY,Green,6HF2BHWN_Fuller_etal_2008_Chmy,1000000,Route,8,Telemetry,B,A,,2,JUN; JUL; AUG; (UNK),JUN; JUL; AUG; (UNK)
CHMY,Green,76V7QMUX_McClellan_and_Read_2010_Chmy,1000000,Route,1,Telemetry,A,B,,1,(UNK),(UNK)
CHMY,Green,7KJ52Z8K_Naro-Maciel_etal_2018_Chmy,2000000,Connection,1,Mark-recapture,A,B,,1,(UNK),(UNK)
CHMY,Green,7KJ52Z8K_Naro-Maciel_etal_2018_Chmy,2000000,Connection,2,Mark-recapture,A,C,,1,(UNK),(UNK)
CHMY,Green,7KJ52Z8K_Naro-Maciel_etal_2018_Chmy,2000000,Route,3,Telemetry,A,D,,1,SEP,DEC
CHMY,Green,7TBUR8F7_Putman_and_Mansfield_2015_Chmy,1000000,Route,1,Telemetry,A,B,,4,MAY; JUL,JUN; AUG
CHMY,Green,7TBUR8F7_Putman_and_Mansfield_2015_Chmy,1000000,Route,2,Telemetry,A,C,,1,OCT,NOV
CHMY,Green,7TBUR8F7_Putman_and_Mansfield_2015_Chmy,1000000,Route,3,Telemetry,A,D,,15,MAY; JUN,JUN
CHMY,Green,7TBUR8F7_Putman_and_Mansfield_2015_Chmy,1000000,Route,4,Telemetry,A,E,,2,MAY,JUN
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,1,Telemetry,A,D,,1,AUG,SEP
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,2,Telemetry,D,E,,1,NOV,DEC
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,3,Telemetry,E,F,,1,(UNK),(UNK)
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,4,Telemetry,A,G,,1,OCT,NOV
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,5,Telemetry,G,H,,1,NOV,DEC
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,6,Telemetry,H,I,,1,FEB,FEB
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,7,Telemetry,I,H,,1,FEB,FEB
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,8,Telemetry,B,J,,1,MAR,MAR
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,9,Telemetry,J,K,,1,MAR,APR
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,10,Telemetry,K,L,,1,APR,APR
CHMY,Green,879GMRSI_Balazs_etal_2015_Chmy,1000000,Route,11,Telemetry,L,M,,1,APR,MAY
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,1000000,Route,1,Telemetry,A,B,,1,APR,JUN
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,1000000,Route,2,Telemetry,A,C,,1,MAY,JUL
CHMY,Green,8BSIC2WJ_Seminoff_etal_2008_Chmy,1000000,Route,3,Telemetry,A,D,,1,MAY,JUN
